player_id,player_name,country,position,team_id,shirt_number
jordan_mohannad_abu_taha,Mohannad Abu Taha,Jordan,Midfielder,jordan,20
jordan_nizar_al_rashdan,Nizar Al-Rashdan,Jordan,Midfielder,jordan,21
jordan_abdallah_al_fakhouri,Abdallah Al-Fakhouri,Jordan,Goalkeeper,jordan,22
jordan_ihsan_haddad,Ihsan Haddad,Jordan,Defender,jordan,23
jordan_ali_azaizeh,Ali Azaizeh,Jordan,Forward,jordan,24
jordan_mohammad_al_dawoud,Mohammad Al-Dawoud,Jordan,Midfielder,jordan,25
jordan_anas_badawi,Anas Badawi,Jordan,Defender,jordan,26
colombia_santiago_arias,Santiago Arias,Colombia,Defender,colombia,4
colombia_kevin_castano,Kevin Castaño,Colombia,Midfielder,colombia,5
colombia_richard_rios,Richard Ríos,Colombia,Midfielder,colombia,6
colombia_jorge_carrascal,Jorge Carrascal,Colombia,Midfielder,colombia,8
colombia_jhon_cordoba,Jhon Córdoba,Colombia,Forward,colombia,9
colombia_james_rodriguez,James Rodríguez,Colombia,Midfielder,colombia,10
colombia_camilo_vargas,Camilo Vargas,Colombia,Goalkeeper,colombia,12
colombia_willer_ditta,Willer Ditta,Colombia,Defender,colombia,18
uzbekistan_utkir_yusupov,Utkir Yusupov,Uzbekistan,Goalkeeper,uzbekistan,1
uzbekistan_khojiakbar_alijonov,Khojiakbar Alijonov,Uzbekistan,Defender,uzbekistan,3
uzbekistan_farrukh_sayfiev,Farrukh Sayfiev,Uzbekistan,Defender,uzbekistan,4
uzbekistan_rustam_ashurmatov,Rustam Ashurmatov,Uzbekistan,Defender,uzbekistan,5
uzbekistan_akmal_mozgovoy,Akmal Mozgovoy,Uzbekistan,Midfielder,uzbekistan,6
uzbekistan_jamshid_iskanderov,Jamshid Iskanderov,Uzbekistan,Midfielder,uzbekistan,8
uzbekistan_odiljon_hamrobekov,Odiljon Hamrobekov,Uzbekistan,Midfielder,uzbekistan,9
uzbekistan_jaloliddin_masharipov,Jaloliddin Masharipov,Uzbekistan,Midfielder,uzbekistan,10
uzbekistan_oston_urunov,Oston Urunov,Uzbekistan,Midfielder,uzbekistan,11
uzbekistan_abduvohid_nematov,Abduvohid Nematov,Uzbekistan,Goalkeeper,uzbekistan,12
uzbekistan_sherzod_nasrullaev,Sherzod Nasrullaev,Uzbekistan,Defender,uzbekistan,13
uzbekistan_umar_eshmurodov,Umar Eshmurodov,Uzbekistan,Defender,uzbekistan,15
uzbekistan_botirali_ergashev,Botirali Ergashev,Uzbekistan,Goalkeeper,uzbekistan,16
uzbekistan_dostonbek_khamdamov,Dostonbek Khamdamov,Uzbekistan,Midfielder,uzbekistan,17
uzbekistan_abdulla_abdullaev,Abdulla Abdullaev,Uzbekistan,Defender,uzbekistan,18
uzbekistan_azizjon_ganiev,Azizjon Ganiev,Uzbekistan,Midfielder,uzbekistan,19
uzbekistan_azizbek_amonov,Azizbek Amonov,Uzbekistan,Forward,uzbekistan,20
uzbekistan_igor_sergeev,Igor Sergeev,Uzbekistan,Forward,uzbekistan,21
uzbekistan_abbosbek_fayzullaev,Abbosbek Fayzullaev,Uzbekistan,Midfielder,uzbekistan,22
uzbekistan_sherzod_esanov,Sherzod Esanov,Uzbekistan,Midfielder,uzbekistan,23
uzbekistan_bekhruz_karimov,Bekhruz Karimov,Uzbekistan,Defender,uzbekistan,24
uzbekistan_avazbek_ulmasaliev,Avazbek Ulmasaliev,Uzbekistan,Defender,uzbekistan,25
uzbekistan_jakhongir_urozov,Jakhongir Urozov,Uzbekistan,Defender,uzbekistan,26
dr_congo_brian_cipenga,Brian Cipenga,DR Congo,Forward,dr_congo,9
dr_congo_theo_bongonda,Théo Bongonda,DR Congo,Midfielder,dr_congo,10
dr_congo_meschak_elia,Meschak Elia,DR Congo,Forward,dr_congo,13
dr_congo_aaron_tshibola,Aaron Tshibola,DR Congo,Midfielder,dr_congo,15
dr_congo_timothy_fayulu,Timothy Fayulu,DR Congo,Goalkeeper,dr_congo,16
dr_congo_fiston_mayele,Fiston Mayele,DR Congo,Forward,dr_congo,19
dr_congo_arthur_masuaku,Arthur Masuaku,DR Congo,Defender,dr_congo,26
croatia_toni_fruk,Toni Fruk,Croatia,Midfielder,croatia,19
panama_cesar_blackman,César Blackman,Panama,Defender,panama,2
panama_jose_cordoba,José Córdoba,Panama,Defender,panama,3
panama_fidel_escobar,Fidel Escobar,Panama,Defender,panama,4
panama_edgardo_farina,Edgardo Fariña,Panama,Defender,panama,5
panama_tomas_rodriguez,Tomás Rodríguez,Panama,Forward,panama,9
panama_yoel_barcenas,Yoel Bárcenas,Panama,Midfielder,panama,11
panama_cesar_samudio,César Samudio,Panama,Goalkeeper,panama,12
panama_eric_davis,Eric Davis,Panama,Defender,panama,15
panama_alberto_quintero,Alberto Quintero,Panama,Midfielder,panama,19
panama_cesar_yanis,César Yanis,Panama,Midfielder,panama,21
panama_orlando_mosquera,Orlando Mosquera,Panama,Goalkeeper,panama,22
panama_azarias_londono,Azarias Londoño,Panama,Forward,panama,24
panama_roderick_miller,Roderick Miller,Panama,Defender,panama,25
ghana_caleb_yirenkyi,Caleb Yirenkyi,Ghana,Midfielder,ghana,3
ghana_jonas_adjetey,Jonas Adjetey,Ghana,Defender,ghana,4
ghana_benjamin_asare,Benjamin Asare,Ghana,Goalkeeper,ghana,16
ghana_kojo_peprah_oppong,Kojo Peprah Oppong,Ghana,Defender,ghana,21
ghana_derrick_luckassen,Derrick Luckassen,Ghana,Defender,ghana,23
